# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.13.2

"collector::tycoon:-97.5,-9.5,58.5", offlineplayer, 810475756964800455554944820C6C6561737453696742697473049636F2085DDADE330B6D6F73745369674269747304E316E06A8B704D7E
"collector::tycoon:-97.5,-9.5,97.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-97.5,-9.5,98.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-96.5,-9.5,97.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-96.5,-9.5,98.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-86.5,66.5,29.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-58.5,-9.5,-18.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B8D79FDB2C53E1AB0B6D6F7374536967426974730425F22B83F8F44BF5
"collector::tycoon:-19.5,-9.5,58.5", offlineplayer, 810475756964800455554944820C6C6561737453696742697473048C58BA64C0C932040B6D6F73745369674269747304C0B032948D244B2E
"collector_locs::tycoon:-58.5,-9.5,-18.5", location, 8605776F726C6480FF0000000181046E616D652080067479636F6F6E017809C04D400000000000017909C023000000000000017A09C03280000000000005706974636808800000000379617708C3340000
"collector_locs::tycoon:-19.5,-9.5,58.5", location, 8605776F726C6480FF0000000181046E616D652080067479636F6F6E017809C033800000000000017909C023000000000000017A09404D40000000000005706974636808800000000379617708C2B40000
genesis.active, boolean, 01
safe.active, boolean, 01
safe.e.x, double, 406199B7722B37D7
safe.e.y, double, 404D000000000000
safe.e.z, double, 3FDE7AC84D9F1D9F
safe.n.x, double, 3FE9B7722B37D779
safe.n.y, double, 4050000000000000
safe.n.z, double, C06170C29BD93071
safe.s.x, double, 3FE9B7722B37D779
safe.s.y, double, 4050000000000000
safe.s.z, double, 40618F3D6426CF8F
safe.w.x, double, C06166488DD4C829
safe.w.y, double, 4050000000000000
safe.w.z, double, 3FDE7AC84D9F1D9F

