# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.12.2

"collector::tycoon:-97.5,-9.5,58.5", offlineplayer, 810475756964800455554944820C6C6561737453696742697473049636F2085DDADE330B6D6F73745369674269747304E316E06A8B704D7E
"collector::tycoon:-97.5,-9.5,97.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-97.5,-9.5,98.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-96.5,-9.5,97.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-96.5,-9.5,98.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-86.5,66.5,29.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
genesis.active, boolean, 01
safe.active, boolean, 01
safe.e.x, double, 406199B7722B37D7
safe.e.y, double, 404D000000000000
safe.e.z, double, 3FDE7AC84D9F1D9F
safe.n.x, double, 3FE9B7722B37D779
safe.n.y, double, 4050000000000000
safe.n.z, double, C06170C29BD93071
safe.s.x, double, 3FE9B7722B37D779
safe.s.y, double, 4050000000000000
safe.s.z, double, 40618F3D6426CF8F
safe.w.x, double, C06166488DD4C829
safe.w.y, double, 4050000000000000
safe.w.z, double, 3FDE7AC84D9F1D9F

